thisRow.t,notes,KOREANid,expId,subj_idx,idx_day,block_idx,half,real_block,trial_in_half,trial_label,resp_idx,stim_idx,audio_file,rms_mix,audio_skipped,Group,StorySetIdx,StoryIdx1,StoryIdx2,StoryPair,Condition,AttendedGender,AttendedStory,MaleStory,FemaleStory,attention_rating,question,option1,option2,option3,option4,selected_answer,correct_answer,hit,trial_start_t,audio_onset_t,att_q_onset_t,att_rt,att_resp_t,comp_q_onset_t,comp_rt,comp_resp_t,subject_number,experimenter_id,day,
,,KOREAN002,kistv1,2,1,1,1,1,1,1-1.,1,3,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus03.wav,0.070978,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,여행 중에 친구들과 무엇을 먹었다고 했나요?,잘 모르겠음,김밥,바비큐,라면,2,2,1,2.9648,5.9648,7.8285,1.0534,8.8819,8.8902,0.2193,9.1096,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,2,1-2.,2,9,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus09.wav,0.072364,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,대회 준비 마지막 일주일 동안 어떤 점에 중점을 두어 훈련했나요?,잘 모르겠음,기초 체력만 집중적으로 키웠다.,기술 연습만 반복했다.,체력과 팀워크를 동시에 끌어올렸다.,2,4,0,10.1182,13.1183,13.1274,0.7276,13.855,13.8646,0.1722,14.0368,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,3,1-3.,3,5,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus05.wav,0.066497,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,발화자가 낯선 도시에서 숙소 위치를 다시 알 수 있었던 가장 큰 이유는 무엇이었나요?,잘 모르겠음,근처 경찰서에 도움을 요청해서,카페 직원이 충전기를 제공해서,현지인에게 길을 물어서,2,3,0,15.0456,18.0457,18.055,0.4278,18.4828,18.4939,0.1909,18.6848,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,4,1-4.,4,8,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus08.wav,0.069,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,발화에서 화자가 민수와 어디에서 몰래 짧게 인사를 나눴다고 했나요?,잘 모르겠음,학교 교실에서,학교 운동장에서,학교 복도에서,2,3,0,19.6944,22.6944,22.7046,0.4887,23.1933,23.2008,0.1792,23.38,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,5,1-5.,5,24,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus24.wav,0.07216,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,발화자가 제주도 여행에서 엄마와 특별하게 먹었던 음식은 무엇이었나요?,잘 모르겠음,고등어구이,갈치조림,제주 흑돼지,2,3,0,24.39,27.39,28.1974,0.3657,28.5631,28.5724,0.193,28.7654,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,6,1-6.,6,26,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus26.wav,0.075732,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,어려운 일이 있었던 화자는 가족들과 무엇을 하며 위안을 받았나요?,잘 모르겠음,같이 운동을 했다,거실에서 이야기를 나눴다,외식을 하러 나갔다,2,3,0,29.776,32.7761,34.3178,0.3203,34.6381,34.6462,0.1715,34.8177,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,7,1-7.,7,18,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus18.wav,0.070689,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,발화에서 화자는 어떻게 휴식을 취했나요?,잘 모르겠음,산책을 했다,소파에 누워 낮잠을 잤다,음악을 들었다,2,3,0,35.8267,38.8267,39.6135,0.1917,39.8052,39.8128,0.1649,39.9777,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,8,1-8.,8,16,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus16.wav,0.079644,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,발화자의 학교 축제 부스에서 일어난 일로 알맞은 것은 무엇인가요?,잘 모르겠음,발화자는 음식 먹는 부스에서 일했다.,발화자는 솜사탕 기계 작동에 처음엔 서툴렀다.,발화자는 친구들에게 솜사탕을 선물했다.,2,3,0,40.9988,43.9988,45.2258,0.0001,45.226,45.2357,0.2926,45.5283,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,9,1-9.,9,10,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus10.wav,0.075138,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,화자는 제주도에서 어떤 상황을 통해 여행의 의미에 대해 깨달았나요?,잘 모르겠음,맛집을 방문하다가,등산을 하다가,낯선 사람과 이야기를 나누다가,2,4,0,46.5486,49.5486,50.3546,0.0001,50.3547,50.3652,0.293,50.6582,2,KISTv1,1,
,,KOREAN002,kistv1,2,1,1,1,1,10,1-10.,10,2,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus02.wav,0.075588,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2,2,숙소 주인 할머니가 비를 피해 들어온 화자에게 무엇을 나눠주셨나요?,잘 모르겠음,군밤,고구마,찐 옥수수,2,3,0,51.6663,54.6663,55.7834,0.0001,55.7835,55.7985,0.4992,56.2977,2,KISTv1,1,
